Date,Price_beef_infl,Price_rice_infl,Price_coffee_infl
2023-04-01,5.37,0.60,4.29
2023-05-01,5.38,0.60,4.30
2023-06-01,5.39,0.60,4.30
2023-07-01,5.39,0.60,4.30
2023-08-01,5.40,0.60,4.31
2023-09-01,5.41,0.60,4.31
2023-10-01,5.42,0.60,4.31
2023-11-01,5.42,0.60,4.32
2023-12-01,5.43,0.60,4.32
2024-01-01,5.44,0.60,4.32
2024-02-01,5.45,0.60,4.32
2024-03-01,5.46,0.60,4.33
2024-04-01,5.46,0.60,4.33
2024-05-01,5.47,0.60,4.33
2024-06-01,5.48,0.60,4.34
2024-07-01,5.49,0.60,4.34
2024-08-01,5.49,0.60,4.34
2024-09-01,5.50,0.60,4.35
2024-10-01,5.51,0.60,4.35
2024-11-01,5.52,0.60,4.35
2024-12-01,5.53,0.61,4.36
2025-01-01,5.53,0.61,4.36
2025-02-01,5.54,0.61,4.36
2025-03-01,5.55,0.61,4.36
2025-04-01,5.56,0.61,4.37
2025-05-01,5.56,0.61,4.37
2025-06-01,5.57,0.61,4.37
2025-07-01,5.58,0.61,4.38
2025-08-01,5.59,0.61,4.38
2025-09-01,5.59,0.61,4.38
2025-10-01,5.60,0.61,4.39
2025-11-01,5.61,0.61,4.39
2025-12-01,5.62,0.61,4.39
2026-01-01,5.63,0.61,4.40
2026-02-01,5.63,0.61,4.40
2026-03-01,5.64,0.61,4.40
2026-04-01,5.65,0.61,4.40
2026-05-01,5.66,0.61,4.41
2026-06-01,5.66,0.61,4.41
2026-07-01,5.67,0.62,4.41
2026-08-01,5.68,0.62,4.42
2026-09-01,5.69,0.62,4.42
2026-10-01,5.69,0.62,4.42
2026-11-01,5.70,0.62,4.43
2026-12-01,5.71,0.62,4.43
2027-01-01,5.72,0.62,4.43
2027-02-01,5.73,0.62,4.44
2027-03-01,5.73,0.62,4.44
2027-04-01,5.74,0.62,4.44
2027-05-01,5.75,0.62,4.44
2027-06-01,5.76,0.62,4.45
2027-07-01,5.76,0.62,4.45
2027-08-01,5.77,0.62,4.45
2027-09-01,5.78,0.62,4.46
2027-10-01,5.79,0.62,4.46
2027-11-01,5.79,0.62,4.46
2027-12-01,5.80,0.62,4.47
2028-01-01,5.81,0.62,4.47
2028-02-01,5.82,0.62,4.47
2028-03-01,5.82,0.63,4.47
2028-04-01,5.83,0.63,4.48
2028-05-01,5.84,0.63,4.48
2028-06-01,5.85,0.63,4.48
2028-07-01,5.86,0.63,4.49
2028-08-01,5.86,0.63,4.49
2028-09-01,5.87,0.63,4.49
2028-10-01,5.88,0.63,4.50
2028-11-01,5.89,0.63,4.50
2028-12-01,5.89,0.63,4.50
2029-01-01,5.90,0.63,4.51
2029-02-01,5.91,0.63,4.51
2029-03-01,5.92,0.63,4.51
2029-04-01,5.92,0.63,4.51
2029-05-01,5.93,0.63,4.52
2029-06-01,5.94,0.63,4.52
2029-07-01,5.95,0.63,4.52
2029-08-01,5.96,0.63,4.53
2029-09-01,5.96,0.63,4.53
2029-10-01,5.97,0.64,4.53
2029-11-01,5.98,0.64,4.54
2029-12-01,5.99,0.64,4.54
2030-01-01,5.99,0.64,4.54
2030-02-01,6.00,0.64,4.55
2030-03-01,6.01,0.64,4.55
2030-04-01,6.02,0.64,4.55
2030-05-01,6.02,0.64,4.55
2030-06-01,6.03,0.64,4.56
2030-07-01,6.04,0.64,4.56
2030-08-01,6.05,0.64,4.56
2030-09-01,6.06,0.64,4.57
2030-10-01,6.06,0.64,4.57
2030-11-01,6.07,0.64,4.57
2030-12-01,6.08,0.64,4.58
2031-01-01,6.09,0.64,4.58
2031-02-01,6.09,0.64,4.58
2031-03-01,6.10,0.64,4.58
2031-04-01,6.11,0.64,4.59
2031-05-01,6.12,0.64,4.59
2031-06-01,6.12,0.65,4.59
2031-07-01,6.13,0.65,4.60
2031-08-01,6.14,0.65,4.60
2031-09-01,6.15,0.65,4.60
2031-10-01,6.16,0.65,4.61
2031-11-01,6.16,0.65,4.61
2031-12-01,6.17,0.65,4.61
2032-01-01,6.18,0.65,4.62
2032-02-01,6.19,0.65,4.62
2032-03-01,6.19,0.65,4.62
2032-04-01,6.20,0.65,4.62
2032-05-01,6.21,0.65,4.63
2032-06-01,6.22,0.65,4.63
2032-07-01,6.22,0.65,4.63
2032-08-01,6.23,0.65,4.64
2032-09-01,6.24,0.65,4.64
2032-10-01,6.25,0.65,4.64
2032-11-01,6.26,0.65,4.65
2032-12-01,6.26,0.65,4.65
2033-01-01,6.27,0.66,4.65
2033-02-01,6.28,0.66,4.66
2033-03-01,6.29,0.66,4.66
2033-04-01,6.29,0.66,4.66
2033-05-01,6.30,0.66,4.66
2033-06-01,6.31,0.66,4.67
2033-07-01,6.32,0.66,4.67
2033-08-01,6.33,0.66,4.67
2033-09-01,6.33,0.66,4.68
2033-10-01,6.34,0.66,4.68
2033-11-01,6.35,0.66,4.68
2033-12-01,6.36,0.66,4.69
2034-01-01,6.36,0.66,4.69
2034-02-01,6.37,0.66,4.69
2034-03-01,6.38,0.66,4.70
2034-04-01,6.39,0.66,4.70
2034-05-01,6.39,0.66,4.70
2034-06-01,6.40,0.66,4.70
2034-07-01,6.41,0.66,4.71
2034-08-01,6.42,0.66,4.71
2034-09-01,6.43,0.67,4.71
2034-10-01,6.43,0.67,4.72
2034-11-01,6.44,0.67,4.72
2034-12-01,6.45,0.67,4.72
2035-01-01,6.46,0.67,4.73
2035-02-01,6.46,0.67,4.73
2035-03-01,6.47,0.67,4.73
2035-04-01,6.48,0.67,4.73
2035-05-01,6.49,0.67,4.74
2035-06-01,6.49,0.67,4.74
2035-07-01,6.50,0.67,4.74
2035-08-01,6.51,0.67,4.75
2035-09-01,6.52,0.67,4.75
2035-10-01,6.52,0.67,4.75
2035-11-01,6.53,0.67,4.76
2035-12-01,6.54,0.67,4.76
2036-01-01,6.55,0.67,4.76
2036-02-01,6.56,0.67,4.77
2036-03-01,6.56,0.67,4.77
2036-04-01,6.57,0.68,4.77
2036-05-01,6.58,0.68,4.77
2036-06-01,6.59,0.68,4.78
2036-07-01,6.59,0.68,4.78
2036-08-01,6.60,0.68,4.78
2036-09-01,6.61,0.68,4.79
2036-10-01,6.62,0.68,4.79
2036-11-01,6.63,0.68,4.79
2036-12-01,6.63,0.68,4.80
2037-01-01,6.64,0.68,4.80
2037-02-01,6.65,0.68,4.80
2037-03-01,6.66,0.68,4.81
2037-04-01,6.66,0.68,4.81
2037-05-01,6.67,0.68,4.81
2037-06-01,6.68,0.68,4.81
2037-07-01,6.69,0.68,4.82
2037-08-01,6.69,0.68,4.82
2037-09-01,6.70,0.68,4.82
2037-10-01,6.71,0.68,4.83
2037-11-01,6.72,0.69,4.83
2037-12-01,6.73,0.69,4.83
2038-01-01,6.73,0.69,4.84
2038-02-01,6.74,0.69,4.84
2038-03-01,6.75,0.69,4.84
2038-04-01,6.76,0.69,4.85
2038-05-01,6.76,0.69,4.85
2038-06-01,6.77,0.69,4.85
2038-07-01,6.78,0.69,4.85
2038-08-01,6.79,0.69,4.86
2038-09-01,6.79,0.69,4.86
2038-10-01,6.80,0.69,4.86
2038-11-01,6.81,0.69,4.87
2038-12-01,6.82,0.69,4.87
2039-01-01,6.83,0.69,4.87
2039-02-01,6.83,0.69,4.88
2039-03-01,6.84,0.69,4.88
2039-04-01,6.85,0.69,4.88
2039-05-01,6.86,0.69,4.88
2039-06-01,6.86,0.69,4.89
2039-07-01,6.87,0.70,4.89
2039-08-01,6.88,0.70,4.89
2039-09-01,6.89,0.70,4.90
2039-10-01,6.89,0.70,4.90
2039-11-01,6.90,0.70,4.90
2039-12-01,6.91,0.70,4.91
2040-01-01,6.92,0.70,4.91
2040-02-01,6.93,0.70,4.91
2040-03-01,6.93,0.70,4.92
2040-04-01,6.94,0.70,4.92
2040-05-01,6.95,0.70,4.92
2040-06-01,6.96,0.70,4.92
2040-07-01,6.96,0.70,4.93
2040-08-01,6.97,0.70,4.93
2040-09-01,6.98,0.70,4.93
2040-10-01,6.99,0.70,4.94
2040-11-01,6.99,0.70,4.94
2040-12-01,7.00,0.70,4.94
2041-01-01,7.01,0.70,4.95
2041-02-01,7.02,0.71,4.95
2041-03-01,7.02,0.71,4.95
2041-04-01,7.03,0.71,4.96
2041-05-01,7.04,0.71,4.96
2041-06-01,7.05,0.71,4.96
2041-07-01,7.06,0.71,4.96
2041-08-01,7.06,0.71,4.97
2041-09-01,7.07,0.71,4.97
2041-10-01,7.08,0.71,4.97
2041-11-01,7.09,0.71,4.98
2041-12-01,7.09,0.71,4.98
2042-01-01,7.10,0.71,4.98
2042-02-01,7.11,0.71,4.99
2042-03-01,7.12,0.71,4.99
2042-04-01,7.13,0.71,4.99
2042-05-01,7.13,0.71,5.00
2042-06-01,7.14,0.71,5.00
2042-07-01,7.15,0.71,5.00
2042-08-01,7.16,0.71,5.00
2042-09-01,7.16,0.71,5.01
2042-10-01,7.17,0.72,5.01
2042-11-01,7.18,0.72,5.01
2042-12-01,7.19,0.72,5.02
2043-01-01,7.19,0.72,5.02
2043-02-01,7.20,0.72,5.02
2043-03-01,7.21,0.72,5.03
2043-04-01,7.22,0.72,5.03
2043-05-01,7.22,0.72,5.03
2043-06-01,7.23,0.72,5.03
2043-07-01,7.24,0.72,5.04
2043-08-01,7.25,0.72,5.04
