Year,Month,Price_beef_kilo,Price_rice_kilo,Price_coffee_kilo,Inflation_rate,Price_rice_infl,Price_beef_infl,Price_coffee_infl
1992,2,2.52,0.28,1.51,89.59,0.53,4.78,2.86
1992,3,2.45,0.28,1.55,89.59,0.53,4.64,2.94
1992,4,2.38,0.28,1.45,89.59,0.53,4.51,2.75
1992,5,2.38,0.27,1.34,89.59,0.51,4.51,2.54
1992,6,2.33,0.27,1.3,89.59,0.51,4.42,2.46
1992,7,2.35,0.28,1.28,89.59,0.53,4.46,2.43
1992,8,2.45,0.27,1.17,89.59,0.51,4.64,2.22
1992,9,2.44,0.26,1.17,89.59,0.49,4.63,2.22
1992,10 ,2.5,0.25,1.36,89.59,0.47,4.74,2.58
1992,11,2.54,0.25,1.48,89.59,0.47,4.82,2.81
1992,12,2.54,0.26,1.7,89.59,0.49,4.82,3.22
1993,1,2.35,0.26,1.53,84.15,0.48,4.33,2.82
1993,2,2.39,0.25,1.49,84.15,0.46,4.4,2.74
1993,3,2.53,0.23,1.4,84.15,0.42,4.66,2.58
1993,4,2.59,0.21,1.28,84.15,0.39,4.77,2.36
1993,5,2.68,0.18,1.37,84.15,0.33,4.94,2.52
1993,6,2.74,0.19,1.38,84.15,0.35,5.05,2.54
1993,7,2.82,0.2,1.58,84.15,0.37,5.19,2.91
1993,8,2.8,0.21,1.7,84.15,0.39,5.16,3.13
1993,9,2.73,0.21,1.78,84.15,0.39,5.03,3.28
1993,10 ,2.67,0.26,1.69,84.15,0.48,4.92,3.11
1993,11,2.64,0.31,1.73,84.15,0.57,4.86,3.19
1993,12,2.46,0.32,1.79,84.15,0.59,4.53,3.3
1994,1,2.42,0.36,1.74,79.47,0.65,4.34,3.12
1994,2,2.49,0.34,1.85,79.47,0.61,4.47,3.32
1994,3,2.69,0.27,1.92,79.47,0.48,4.83,3.45
1994,4,2.63,0.27,2.0,79.47,0.48,4.72,3.59
1994,5,2.39,0.23,2.69,79.47,0.41,4.29,4.83
1994,6,2.23,0.21,3.16,79.47,0.38,4.0,5.67
1994,7,2.19,0.23,4.83,79.47,0.41,3.93,8.67
1994,8,2.2,0.25,4.42,79.47,0.45,3.95,7.93
1994,9,2.21,0.26,4.89,79.47,0.47,3.97,8.78
1994,10 ,2.12,0.26,4.45,79.47,0.47,3.8,7.99
1994,11,2.19,0.26,4.03,79.47,0.47,3.93,7.23
1994,12,2.23,0.26,3.72,79.47,0.47,4.0,6.68
1995,1,2.13,0.28,3.81,74.58,0.49,3.72,6.65
1995,2,2.16,0.28,3.74,74.58,0.49,3.77,6.53
1995,3,2.04,0.29,3.96,74.58,0.51,3.56,6.91
1995,4,1.92,0.28,3.84,74.58,0.49,3.35,6.7
1995,5,1.75,0.29,3.77,74.58,0.51,3.06,6.58
1995,6,1.66,0.33,3.41,74.58,0.58,2.9,5.95
1995,7,1.63,0.35,3.21,74.58,0.61,2.85,5.6
1995,8,1.69,0.34,3.38,74.58,0.59,2.95,5.9
1995,9,1.76,0.36,2.96,74.58,0.63,3.07,5.17
1995,10 ,1.82,0.38,2.81,74.58,0.66,3.18,4.91
1995,11,1.94,0.34,2.76,74.58,0.59,3.39,4.82
1995,12,1.91,0.34,2.34,74.58,0.59,3.33,4.09
1996,1,1.86,0.37,2.44,69.6,0.63,3.15,4.14
1996,2,1.81,0.37,2.74,69.6,0.63,3.07,4.65
1996,3,1.72,0.36,2.66,69.6,0.61,2.92,4.51
1996,4,1.72,0.33,2.72,69.6,0.56,2.92,4.61
1996,5,1.7,0.33,2.85,69.6,0.56,2.88,4.83
1996,6,1.65,0.34,2.77,69.6,0.58,2.8,4.7
1996,7,1.68,0.36,2.7,69.6,0.61,2.85,4.58
1996,8,1.76,0.34,2.78,69.6,0.58,2.98,4.71
1996,9,1.75,0.33,2.62,69.6,0.56,2.97,4.44
1996,10 ,1.79,0.31,2.74,69.6,0.53,3.04,4.65
1996,11,1.77,0.32,2.74,69.6,0.54,3.0,4.65
1996,12,1.79,0.32,2.58,69.6,0.54,3.04,4.38
1997,1,1.77,0.36,2.93,65.73,0.6,2.93,4.86
1997,2,1.84,0.35,3.71,65.73,0.58,3.05,6.15
1997,3,2.04,0.32,4.29,65.73,0.53,3.38,7.11
1997,4,2.0,0.3,4.56,65.73,0.5,3.31,7.56
